FROM,TO,Travel Time Savings Positive,Travel Time Savings Negative
CBD,CBD,151054.7993,0
CBD,Clackamas.Co,188153.4821,0
CBD,Clark.Co,749.2072906,0
CBD,East.Multnomah.Co,542865.6139,0
CBD,Northwest,0,-67572.79771
CBD,Portland.Eastside,689204.617,0
CBD,Southwest,610070.6055,0
CBD,West.Wash.Co,998969.9626,0
Clackamas.Co,CBD,3381055.332,0
Clackamas.Co,Clackamas.Co,2266444.215,0
Clackamas.Co,Clark.Co,0,-87286.43103
Clackamas.Co,East.Multnomah.Co,956104.075,0
Clackamas.Co,Northwest,1446881.885,0
Clackamas.Co,Portland.Eastside,232024.6,0
Clackamas.Co,Southwest,1003550.157,0
Clackamas.Co,West.Wash.Co,993619.3709,0
Clark.Co,CBD,0,-35210.4959
Clark.Co,Clackamas.Co,0,-123531.0664
Clark.Co,Clark.Co,82778.0836,0
Clark.Co,East.Multnomah.Co,84181.41648,0
Clark.Co,Northwest,75655.29384,0
Clark.Co,Portland.Eastside,283204.4417,0
Clark.Co,Southwest,124156.2427,0
Clark.Co,West.Wash.Co,357950.4976,0
East.Multnomah.Co,CBD,10090538.89,0
East.Multnomah.Co,Clackamas.Co,1584094.884,0
East.Multnomah.Co,Clark.Co,138296.2812,0
East.Multnomah.Co,East.Multnomah.Co,967634.9702,0
East.Multnomah.Co,Northwest,2650035.332,0
East.Multnomah.Co,Portland.Eastside,1417934.425,0
East.Multnomah.Co,Southwest,1244713.915,0
East.Multnomah.Co,West.Wash.Co,2517024.604,0
Northwest,CBD,644148.4339,0
Northwest,Clackamas.Co,849665.8772,0
Northwest,Clark.Co,34729.71292,0
Northwest,East.Multnomah.Co,697436.7376,0
Northwest,Northwest,410334.9007,0
Northwest,Portland.Eastside,2050181.705,0
Northwest,Southwest,1081833.779,0
Northwest,West.Wash.Co,346012.9977,0
Portland.Eastside,CBD,7275229.028,0
Portland.Eastside,Clackamas.Co,739884.358,0
Portland.Eastside,Clark.Co,80607.15589,0
Portland.Eastside,East.Multnomah.Co,377610.0294,0
Portland.Eastside,Northwest,2846373.437,0
Portland.Eastside,Portland.Eastside,0,-2048470.249
Portland.Eastside,Southwest,2362705.666,0
Portland.Eastside,West.Wash.Co,4314354.845,0
Southwest,CBD,1612633.238,0
Southwest,Clackamas.Co,785824.7935,0
Southwest,Clark.Co,61736.29243,0
Southwest,East.Multnomah.Co,471146.4968,0
Southwest,Northwest,573771.8542,0
Southwest,Portland.Eastside,1704656.319,0
Southwest,Southwest,556489.3611,0
Southwest,West.Wash.Co,333763.8186,0
West.Wash.Co,CBD,8696642.212,0
West.Wash.Co,Clackamas.Co,1224426.549,0
West.Wash.Co,Clark.Co,365558.2404,0
West.Wash.Co,East.Multnomah.Co,2319540.003,0
West.Wash.Co,Northwest,711416.5629,0
West.Wash.Co,Portland.Eastside,8399551.233,0
West.Wash.Co,Southwest,557763.7132,0
West.Wash.Co,West.Wash.Co,2885459.236,0
